Byte,Hop Count ,Source ,,Destination ,,Type ,TTL Type ,Next Hop ,,Distance ,Battery, Neighbour ,Address 1,,N-Battery,Address 1,,RSSI,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery,Address 1,,N-Battery
43,1,0,1,0,1,2,100,0,1,0,255,10,0,7,255,0,4,255,0,13,253,0,8,253,0,5,253,0,3,253,0,15,253,0,14,253,0,12,252,0,11,252,0,0,0
46,1,0,7,0,1,2,98,0,1,1,229,11,0,13,255,0,8,255,0,6,249,0,3,252,0,15,252,0,14,253,0,12,253,0,1,253,0,9,252,0,2,253,0,16,252
46,1,0,8,0,1,2,98,0,1,1,229,11,0,6,255,0,5,255,0,3,249,0,15,252,0,14,252,0,12,253,0,1,253,0,9,253,0,2,252,0,7,252,0,13,252
25,1,0,16,0,1,2,97,0,1,2,229,4,0,7,255,0,13,255,0,10,249,0,2,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,0,13,0,1,2,98,0,1,1,226,11,0,14,255,0,6,255,0,15,248,0,3,252,0,12,253,0,1,253,0,9,252,0,2,253,0,16,253,0,8,252,0,7,252
46,1,0,14,0,1,2,98,0,1,1,226,11,0,6,255,0,15,255,0,3,249,0,12,252,0,5,252,0,1,252,0,9,253,0,2,252,0,8,253,0,7,253,0,13,253
43,1,0,12,0,1,2,98,0,1,1,226,10,0,5,255,0,1,255,0,9,249,0,8,252,0,7,252,0,13,252,0,15,252,0,14,253,0,6,253,0,3,253,0,0,0
19,1,0,10,0,1,2,96,0,1,3,226,2,0,16,255,0,2,255]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,0,4,0,1,2,98,0,1,1,224,4,0,15,255,0,11,255,0,5,248,0,1,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,0,8,0,1,2,98,0,1,1,224,11,0,7,255,0,13,255,0,14,250,0,15,252,0,6,252,0,3,252,0,12,252,0,5,253,0,1,252,0,9,253,0,2,253
46,1,0,14,0,1,2,97,0,1,1,224,11,0,15,255,0,6,255,0,3,248,0,12,252,0,5,252,0,1,253,0,9,253,0,2,252,0,8,253,0,7,253,0,13,253
46,1,0,3,0,1,2,98,0,1,1,224,11,0,12,255,0,5,255,0,1,248,0,9,252,0,2,252,0,8,253,0,7,252,0,15,252,0,13,252,0,14,253,0,6,252
43,1,0,12,0,1,2,98,0,1,1,224,10,0,5,255,0,1,255,0,9,248,0,8,253,0,7,252,0,15,253,0,13,252,0,14,253,0,3,252,0,6,252,0,0,0
22,1,0,11,0,1,2,98,0,1,1,224,3,0,1,255,0,4,255,0,15,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,0,5,0,1,2,98,0,1,1,224,7,0,1,255,0,4,255,0,8,249,0,15,253,0,14,253,0,3,252,0,12,253,0,0,0,0,0,0,0,0,0,0,0,0
37,1,0,9,0,1,2,97,0,1,2,224,8,0,2,255,0,8,255,0,7,249,0,13,253,0,14,252,0,3,253,0,6,253,0,12,252,0,0,0,0,0,0,0,0,0
40,2,0,2,0,1,2,97,0,2,2,224,9,0,8,255,0,7,255,0,13,249,0,14,252,0,3,253,0,6,253,0,10,253,0,16,252,0,9,252,0,0,0,0,0,0
43,2,0,15,0,1,2,96,0,2,1,221,10,0,14,255,0,13,255,0,3,250,0,12,253,0,11,253,0,5,253,0,1,253,0,8,252,0,7,253,0,4,253,0,0,0
46,2,0,3,0,1,2,98,0,2,1,219,11,0,12,255,0,5,255,0,6,248,0,1,253,0,9,253,0,2,253,0,8,253,0,7,253,0,14,252,0,13,252,0,15,253
22,2,0,11,0,1,2,98,0,2,1,219,3,0,1,255,0,4,255,0,15,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2,0,5,0,1,2,98,0,2,1,219,7,0,1,255,0,8,255,0,4,249,0,14,253,0,15,253,0,3,253,0,12,252,0,0,0,0,0,0,0,0,0,0,0,0
25,2,0,16,0,1,2,97,0,2,2,219,4,0,2,255,0,7,255,0,13,248,0,10,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,0,4,0,1,2,98,0,2,1,216,4,0,15,255,0,11,255,0,5,249,0,1,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2,0,13,0,1,2,98,0,2,1,216,11,0,6,255,0,1,255,0,9,249,0,16,253,0,2,253,0,8,253,0,7,252,0,14,253,0,15,253,0,12,253,0,3,253
19,2,0,10,0,1,2,96,0,2,3,216,2,0,2,255,0,16,255]],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3,0,9,0,1,2,97,0,3,2,213,8,0,8,255,0,12,255,0,14,249,0,7,253,0,13,252,0,3,253,0,6,253,0,2,253,0,0,0,0,0,0,0,0,0
43,3,0,15,0,1,2,98,0,3,1,211,10,0,14,255,0,7,255,0,12,250,0,13,253,0,3,253,0,5,252,0,11,253,0,1,253,0,8,253,0,4,253,0,0,0
37,3,0,9,0,1,2,97,0,3,2,211,8,0,8,255,0,14,255,0,13,250,0,7,253,0,12,252,0,3,253,0,6,252,0,2,253,0,0,0,0,0,0,0,0,0
